89.56222 307.79566 267.10794 29.27191 25.33812 37.77615
75.35708 198.20534 189.38285 21.43149 12.21264 31.88527
83.54528 452.25832 299.11190 48.56470 35.30863 20.30042
91.48984 315.42633 280.34542 34.97799 21.23061 39.89997
62.62944 232.99375 169.69481 29.70012 12.35371 16.00341
85.89483 490.45081 285.69247 40.90856 49.51138 17.45453
93.25154 333.53861 243.21288 12.96027 45.41404 33.67036
73.78243 330.28144 214.28366 29.99795 30.00425 18.21853
89.25209 409.74662 270.69158 29.24458 44.65743 26.29981
91.41252 263.16362 264.79636 30.37957 15.21033 44.87339
76.24688 414.00313 262.38689 46.80494 30.15209 16.34884
101.99644 382.61511 340.79311 44.72883 23.90291 46.12648
83.00167 230.88145 217.18550 22.86208 16.87239 36.34776
85.31928 226.36150 234.68912 26.95577 11.25478 40.95579
92.31359 387.90516 254.40549 22.23538 46.34408 29.50957
94.67077 393.07431 277.21286 24.89600 45.20217 33.11006
109.93460 403.11458 320.30357 23.88478 46.15025 48.05635
100.03042 386.56712 270.34234 18.95661 48.91439 37.26572
82.45621 338.03164 208.74064 13.02043 46.31198 23.28008
106.40700 419.52969 326.63415 32.42357 42.22847 43.66917
91.56834 189.14108 232.75780 18.65595 11.82981 49.04699
76.91097 269.06173 222.79862 30.89581 16.93118 28.62617
83.81270 271.32705 221.97298 22.04649 24.24491 33.69808
96.82790 314.28383 310.17701 40.63533 14.83142 47.86119
80.37402 246.24417 216.20357 26.51794 16.20267 31.82778
75.34117 258.01330 225.37961 33.69420 11.85783 29.02465
84.13689 294.72660 202.19147 10.28465 41.20885 27.86348
105.87743 353.65761 279.61942 14.28799 46.93878 45.77859
83.24612 398.79326 262.14764 35.32828 36.75146 22.84690
102.32189 474.42361 338.22657 41.61383 44.07912 36.62985
94.20731 284.90782 257.58039 22.14656 26.83128 42.87957
85.81509 288.32539 259.57570 34.80842 16.23127 37.86816
92.14518 230.18176 253.09350 25.79834 12.45781 47.52059
104.27246 342.60462 271.58172 10.29301 47.83609 45.08548
72.07011 314.73109 243.04060 44.08533 13.52019 22.24298
80.95482 268.13428 195.35616 12.47482 34.40860 27.14114
97.63756 340.72311 252.44464 10.28007 48.76499 37.74585
69.79538 289.46804 181.62905 22.99386 28.07603 16.47251
66.11950 331.02850 208.23123 34.03335 26.53889 11.72509
